time,lat,lon,apcp
2022-01-07,37.85422,-121.394,0.03125
2022-01-07,37.85422,-121.394,0.03125
2022-01-07,37.90823,-121.0383,0.1796875
2022-01-07,37.90823,-121.0383,0.1796875
2022-01-08,37.01344,-121.1892,0.0
2022-01-08,37.01344,-121.1892,0.0
2022-01-08,37.18275,-121.9598,0.0
2022-01-08,37.18275,-121.9598,0.0
2022-01-08,37.23877,-121.6087,0.0
2022-01-08,37.23877,-121.6087,0.0
2022-01-08,37.29348,-121.2568,0.0
2022-01-08,37.29348,-121.2568,0.0
2022-01-08,37.51871,-121.6785,0.0
2022-01-08,37.51871,-121.6785,0.0
2022-01-08,37.57373,-121.3251,0.0
2022-01-08,37.57373,-121.3251,0.0
2022-01-08,37.79888,-121.749,0.0
2022-01-08,37.79888,-121.749,0.0
2022-01-08,37.85422,-121.394,0.0
2022-01-08,37.85422,-121.394,0.0
2022-01-08,37.90823,-121.0383,0.0
2022-01-08,37.90823,-121.0383,0.0
2022-01-09,37.01344,-121.1892,0.0021103208
2022-01-09,37.01344,-121.1892,0.0021103208
2022-01-09,37.18275,-121.9598,0.0021103208
2022-01-09,37.18275,-121.9598,0.0021103208
2022-01-09,37.23877,-121.6087,0.0021103208
2022-01-09,37.23877,-121.6087,0.0021103208
2022-01-09,37.29348,-121.2568,0.0021103208
2022-01-09,37.29348,-121.2568,0.0021103208
2022-01-09,37.51871,-121.6785,0.0021103208
2022-01-09,37.51871,-121.6785,0.0021103208
2022-01-09,37.57373,-121.3251,0.0021103208
2022-01-09,37.57373,-121.3251,0.0021103208
2022-01-09,37.79888,-121.749,0.0021103208
2022-01-09,37.79888,-121.749,0.0021103208
2022-01-09,37.85422,-121.394,0.0021103208
2022-01-09,37.85422,-121.394,0.0021103208
2022-01-09,37.90823,-121.0383,0.0021103208
2022-01-09,37.90823,-121.0383,0.0021103208
2022-01-10,37.01344,-121.1892,0.015625
2022-01-10,37.01344,-121.1892,0.015625
2022-01-10,37.18275,-121.9598,0.0234375
2022-01-10,37.18275,-121.9598,0.0234375
2022-01-10,37.23877,-121.6087,0.015625
2022-01-10,37.23877,-121.6087,0.015625
2022-01-10,37.29348,-121.2568,0.0078125
2022-01-10,37.29348,-121.2568,0.0078125
2022-01-10,37.51871,-121.6785,0.015625
2022-01-10,37.51871,-121.6785,0.015625
2022-01-10,37.57373,-121.3251,0.0078125
2022-01-10,37.57373,-121.3251,0.0078125
2022-01-10,37.79888,-121.749,0.015625
2022-01-10,37.79888,-121.749,0.015625
2022-01-10,37.85422,-121.394,0.0078125
2022-01-10,37.85422,-121.394,0.0078125
2022-01-10,37.90823,-121.0383,0.0
2022-01-10,37.90823,-121.0383,0.0
2022-01-11,37.01344,-121.1892,0.0
2022-01-11,37.01344,-121.1892,0.0
2022-01-11,37.18275,-121.9598,0.0
2022-01-11,37.18275,-121.9598,0.0
2022-01-11,37.23877,-121.6087,0.0
2022-01-11,37.23877,-121.6087,0.0
2022-01-11,37.29348,-121.2568,0.0
2022-01-11,37.29348,-121.2568,0.0
2022-01-11,37.51871,-121.6785,0.0
2022-01-11,37.51871,-121.6785,0.0
2022-01-11,37.57373,-121.3251,0.0
2022-01-11,37.57373,-121.3251,0.0
2022-01-11,37.79888,-121.749,0.0
2022-01-11,37.79888,-121.749,0.0
2022-01-11,37.85422,-121.394,0.0
2022-01-11,37.85422,-121.394,0.0
2022-01-11,37.90823,-121.0383,0.0
2022-01-11,37.90823,-121.0383,0.0
2022-01-12,37.01344,-121.1892,0.0
2022-01-12,37.01344,-121.1892,0.0
2022-01-12,37.18275,-121.9598,0.0
2022-01-12,37.18275,-121.9598,0.0
2022-01-12,37.23877,-121.6087,0.0
2022-01-12,37.23877,-121.6087,0.0
2022-01-12,37.29348,-121.2568,0.0
2022-01-12,37.29348,-121.2568,0.0
2022-01-12,37.51871,-121.6785,0.0
2022-01-12,37.51871,-121.6785,0.0
2022-01-12,37.57373,-121.3251,0.0
2022-01-12,37.57373,-121.3251,0.0
2022-01-12,37.79888,-121.749,0.0
2022-01-12,37.79888,-121.749,0.0
2022-01-12,37.85422,-121.394,0.0
2022-01-12,37.85422,-121.394,0.0
2022-01-12,37.90823,-121.0383,0.0
2022-01-12,37.90823,-121.0383,0.0
2022-01-13,37.01344,-121.1892,0.0
2022-01-13,37.01344,-121.1892,0.0
2022-01-13,37.18275,-121.9598,0.0
2022-01-13,37.18275,-121.9598,0.0
2022-01-13,37.23877,-121.6087,0.0
2022-01-13,37.23877,-121.6087,0.0
2022-01-13,37.29348,-121.2568,0.0
2022-01-13,37.29348,-121.2568,0.0
2022-01-13,37.51871,-121.6785,0.0
2022-01-13,37.51871,-121.6785,0.0
2022-01-13,37.57373,-121.3251,0.0
2022-01-13,37.57373,-121.3251,0.0
2022-01-13,37.79888,-121.749,0.0
2022-01-13,37.79888,-121.749,0.0
2022-01-13,37.85422,-121.394,0.0
2022-01-13,37.85422,-121.394,0.0
2022-01-13,37.90823,-121.0383,0.0
2022-01-13,37.90823,-121.0383,0.0
2022-01-14,37.01344,-121.1892,0.0
2022-01-14,37.01344,-121.1892,0.0
